"YEAR","ID_","AGE","EDUC","SEX","RACE","RICHWORK","JOBINC","GETAHEAD","TIMEPDWK","TIMELEIS","WRKEARN","WRKENJOY","SECJOB","HIINC","PROMOTN","INTJOB","WRKINDP","HLPOTHS","HLPSOC","FLEXHRS","IWRKHARD","JOBSAT","HELPORG1"
1989,26,63,8,2,1,0,1,1,5,3,4,2,2,2,1,2,2,2,2,2,0,0,0
1989,27,72,10,2,1,0,2,1,5,3,1,2,2,2,2,2,3,2,2,3,0,0,0
1989,28,70,4,1,3,0,0,0,1,3,1,4,1,1,9,2,2,2,2,2,0,0,0
1989,29,30,10,2,3,0,2,1,1,5,2,1,1,2,2,2,2,2,2,1,0,0,0
1989,30,23,12,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,31,29,12,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,32,32,16,2,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,33,48,14,2,1,1,3,1,2,2,5,2,2,2,1,1,2,3,3,3,3,2,0
1989,34,41,18,2,3,0,0,0,4,3,4,2,1,2,2,2,2,3,2,2,2,2,0
1989,35,47,18,2,3,1,4,1,4,2,4,1,1,1,2,1,2,2,2,3,3,3,0
1989,36,45,16,1,3,1,3,1,3,2,4,2,1,2,2,1,3,2,1,3,3,2,0
1989,37,46,14,2,3,0,4,1,8,3,4,2,9,9,9,9,9,9,9,9,0,0,0
1989,38,58,18,1,1,0,0,0,2,2,5,1,1,2,2,2,1,2,1,2,3,5,0
1989,39,50,14,1,1,1,3,2,4,2,3,3,1,2,2,2,2,1,2,3,2,3,0
1989,40,49,16,2,1,0,0,0,8,3,8,8,2,2,1,1,1,1,1,3,0,0,0
1989,41,75,12,1,1,0,0,0,8,1,4,2,2,2,1,1,4,2,3,4,0,0,0
1989,42,55,14,2,1,0,0,0,3,3,4,2,1,3,2,1,3,1,1,3,2,3,0
1989,43,28,15,2,1,1,1,1,4,1,4,2,2,1,1,2,2,3,3,3,3,2,0
1989,44,28,12,2,1,1,2,1,4,2,5,2,1,2,2,1,1,1,2,2,3,2,0
1989,45,25,7,2,1,0,2,2,8,2,1,3,1,1,1,2,2,1,2,1,0,0,0
1989,46,75,8,1,1,1,2,2,4,2,4,2,1,2,2,2,1,4,2,2,3,1,0
1989,47,35,15,2,1,0,1,1,8,2,2,4,1,1,1,2,3,2,2,2,0,0,0
1989,48,47,10,2,1,0,0,0,8,2,3,4,1,1,1,2,3,3,2,3,0,0,0
1989,49,42,13,1,1,1,3,1,4,3,4,2,2,2,1,1,1,1,3,2,2,2,0
1989,50,36,13,2,1,2,4,1,4,3,4,3,2,3,2,2,2,3,3,2,3,2,0
1989,51,42,16,1,1,2,1,3,3,2,2,2,2,1,2,1,1,1,2,1,3,5,0
1989,52,50,16,2,1,1,1,1,4,2,2,3,1,2,2,2,2,2,2,2,2,3,0
1989,53,27,16,2,1,1,3,2,4,1,5,2,2,2,1,1,1,1,1,3,2,5,0
1989,54,34,13,1,1,1,4,1,3,2,2,1,1,2,1,1,2,1,1,1,0,0,0
1989,55,32,13,2,2,1,4,1,3,2,3,3,2,2,2,2,2,2,2,4,2,3,0
1989,56,35,14,2,2,1,2,1,2,2,4,2,1,2,1,2,2,2,1,2,3,3,0
1989,57,24,12,2,2,0,0,0,2,3,3,1,3,2,3,1,1,2,3,3,0,0,0
1989,58,72,14,2,1,0,3,2,5,3,3,3,2,2,2,1,2,3,3,2,0,0,0
1989,59,62,14,1,1,1,2,2,5,1,3,4,1,1,1,1,1,1,1,1,3,1,0
1989,60,71,14,1,1,0,3,1,9,3,9,9,2,3,1,1,1,1,2,3,0,0,0
1989,61,75,9,2,1,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,62,31,14,1,1,0,0,0,2,2,4,5,1,3,2,3,4,3,4,2,1,1,0
1989,63,88,10,2,1,0,0,0,5,3,4,2,1,2,1,2,3,2,2,4,0,0,0
1989,64,78,9,1,1,0,9,1,1,2,5,1,1,3,2,2,3,3,2,4,0,0,0
1989,65,70,10,1,1,0,2,1,4,3,2,4,1,2,2,2,2,1,2,2,0,0,0
1989,66,79,8,2,1,0,0,0,8,2,2,3,1,1,9,2,2,3,2,1,0,0,0
1989,67,47,12,2,1,2,2,1,3,4,2,4,1,1,2,4,2,2,2,3,8,1,0
1989,68,28,8,2,3,0,0,0,2,1,2,4,1,2,8,9,2,2,2,1,1,1,0
1989,69,30,11,2,1,0,1,2,1,3,2,3,1,1,2,2,3,2,3,3,0,0,0
1989,70,41,14,1,1,2,3,2,4,2,3,3,1,2,2,2,2,2,2,3,3,3,0
1989,71,72,12,2,3,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,72,64,8,2,2,0,1,1,5,2,2,5,2,1,2,3,3,2,2,8,0,0,0
1989,73,51,14,2,2,0,4,2,5,3,3,2,1,2,2,4,4,2,3,3,0,0,0
1989,74,51,14,2,2,0,0,0,3,1,2,1,1,1,1,1,1,1,1,3,3,2,0
1989,75,23,16,1,2,0,0,0,4,2,4,2,1,2,1,1,1,1,1,2,1,3,0
1989,76,62,10,2,3,0,4,9,5,3,3,3,1,1,2,2,4,4,4,4,0,0,0
1989,77,63,5,2,2,0,0,0,5,2,2,4,1,2,2,3,3,3,3,3,0,0,0
1989,78,47,14,1,1,2,2,3,5,1,3,4,1,2,1,2,2,3,2,2,3,2,0
1989,79,28,14,1,1,0,0,0,2,1,4,5,1,1,1,3,2,2,1,1,2,1,0
1989,80,51,12,2,1,0,0,0,2,4,4,2,1,1,1,1,1,1,1,1,3,2,0
1989,81,21,13,2,1,0,3,3,1,2,2,2,1,2,1,1,1,2,2,2,0,0,0
1989,82,31,17,1,3,1,4,3,3,2,2,3,2,3,1,2,2,2,2,2,2,4,0
1989,83,26,10,2,1,2,4,1,4,2,2,8,1,2,4,2,2,2,4,1,3,3,0
1989,84,63,14,1,1,0,3,1,9,9,9,2,2,2,1,1,2,2,2,4,0,0,0
1989,85,81,14,2,1,0,4,1,3,2,4,5,1,2,1,2,2,2,2,4,0,0,0
1989,86,49,10,2,1,2,2,1,5,1,4,4,1,1,1,1,3,2,2,3,3,5,0
1989,87,25,12,1,1,0,0,0,3,3,4,2,1,2,1,2,3,3,2,3,3,3,0
1989,88,65,10,1,1,0,0,0,9,9,2,3,1,4,2,2,4,1,1,2,0,0,0
1989,89,19,12,2,1,1,3,1,2,2,5,2,1,2,1,2,2,2,2,2,2,2,0
1989,90,24,99,2,1,0,3,1,1,8,3,1,1,2,1,1,2,2,1,1,0,0,0
1989,91,44,10,1,1,0,0,0,2,2,4,2,2,3,2,2,2,2,2,3,3,1,0
1989,92,22,11,2,1,1,1,1,2,2,3,2,2,1,2,2,1,2,1,1,3,3,0
1989,93,25,13,2,1,0,0,0,1,5,3,1,1,1,1,1,3,1,1,3,0,0,0
1989,94,67,13,2,1,0,0,0,5,1,4,4,1,1,1,1,1,2,2,2,0,0,0
1989,95,27,13,2,2,1,2,3,3,1,2,2,1,1,1,9,4,5,3,5,1,5,0
1989,96,35,12,1,1,2,1,1,2,2,4,3,2,1,2,1,3,3,3,3,3,3,0
1989,97,38,14,2,1,0,5,1,2,2,2,4,1,1,1,1,1,1,1,1,0,0,0
1989,98,52,9,1,1,0,0,0,3,3,3,2,2,2,2,2,2,2,2,3,2,3,0
1989,99,37,12,1,1,2,1,2,4,2,4,4,2,1,3,3,3,3,3,4,3,3,0
1989,100,20,12,2,1,1,9,1,2,3,4,2,2,2,1,2,4,3,3,2,2,3,0
1989,101,29,10,2,1,1,4,1,4,1,4,4,1,2,1,1,1,2,1,3,1,1,0
1989,102,25,14,1,1,0,0,0,3,2,2,2,2,2,2,2,2,3,2,2,9,2,0
1989,103,30,4,1,1,1,4,1,5,2,2,5,1,2,1,2,2,2,2,2,1,3,0
1989,104,53,12,1,1,1,3,1,3,3,3,2,2,3,3,2,2,2,2,3,3,2,0
1989,105,67,13,2,1,0,0,0,8,2,5,3,2,2,2,1,2,2,2,3,0,0,0
1989,106,28,15,2,2,1,1,2,2,2,5,2,1,2,2,2,2,3,3,4,2,7,0
1989,107,39,12,1,1,2,3,2,4,1,5,3,3,4,2,1,3,2,2,2,1,7,0
1989,108,54,11,2,2,0,0,0,8,3,3,4,1,1,1,1,1,2,3,3,0,0,0
1989,109,75,7,2,1,0,4,1,5,3,4,8,8,3,1,1,1,1,1,1,0,0,0
1989,110,76,12,2,1,0,1,1,8,3,3,4,1,1,1,2,2,2,2,2,0,0,0
1989,111,45,12,2,1,1,3,1,3,2,5,2,2,2,2,2,2,2,3,4,3,2,0
1989,112,56,8,2,2,0,2,2,1,1,4,2,1,1,1,1,2,2,2,4,0,0,0
1989,113,69,12,2,2,1,1,1,8,4,2,2,1,1,1,1,2,2,3,2,1,2,0
1989,114,21,8,2,2,0,0,0,1,2,1,1,1,2,2,1,1,1,2,1,0,0,0
1989,115,22,11,1,2,0,0,0,1,2,2,2,1,2,1,2,3,2,1,2,0,0,0
1989,116,75,14,1,1,0,3,1,9,2,1,1,9,9,2,1,3,3,3,3,0,0,0
1989,117,59,13,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,118,68,16,1,1,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,119,37,15,1,1,0,0,0,4,3,1,3,2,3,1,1,1,2,2,2,3,3,0
1989,120,67,18,1,1,1,2,2,5,3,5,2,3,2,2,1,3,2,1,4,3,2,0
1989,121,68,12,1,1,1,2,2,3,3,5,2,2,2,3,2,3,3,2,3,3,3,0
1989,122,34,18,1,1,0,0,0,3,3,4,4,2,2,2,1,1,3,2,3,3,2,0
1989,123,25,11,2,1,0,0,0,1,2,4,3,2,2,1,2,3,2,2,3,0,0,0
1989,124,18,11,2,1,1,3,2,2,1,5,1,1,2,1,1,3,3,1,1,2,3,0
1989,125,89,10,1,1,0,3,1,5,3,3,3,1,3,1,1,1,2,1,4,0,0,0
1989,126,53,16,2,1,1,3,1,1,2,4,2,2,2,1,1,1,1,1,2,3,3,0
1989,127,33,16,1,1,0,0,0,3,2,5,2,4,2,2,1,1,2,2,3,3,2,0
1989,128,30,13,2,1,2,3,1,5,1,4,3,4,3,2,1,1,1,3,2,3,3,0
1989,129,28,12,2,1,0,0,0,4,2,5,3,1,3,2,1,3,2,1,2,0,0,0
1989,130,42,15,1,1,0,0,0,4,1,4,2,2,2,2,2,2,2,3,4,2,4,0
1989,131,33,12,2,1,1,2,1,4,1,4,2,1,1,1,2,2,2,2,3,2,6,0
1989,132,48,12,2,2,0,0,0,3,3,4,4,1,2,1,1,2,2,2,2,3,1,0
1989,133,48,14,2,2,0,4,2,1,2,2,2,2,2,1,1,1,1,2,4,0,0,0
1989,134,56,12,1,2,2,1,2,5,2,1,2,1,1,1,1,2,2,1,1,8,3,0
1989,135,77,7,2,2,0,4,2,2,2,4,4,1,2,1,1,4,2,2,2,0,0,0
1989,136,39,19,2,2,1,3,2,4,1,2,4,1,2,2,2,2,2,2,2,3,2,0
1989,137,42,13,1,2,2,2,2,4,2,2,4,1,2,2,2,3,3,3,3,2,3,0
1989,138,19,13,2,2,1,9,1,3,2,3,4,1,1,1,2,3,2,1,3,1,3,0
1989,139,29,12,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,140,68,13,1,1,1,3,1,3,2,3,2,2,2,1,1,2,4,4,4,3,2,0
1989,141,29,17,2,1,0,0,0,3,1,4,2,2,4,2,1,1,1,1,4,3,2,0
1989,142,52,12,2,1,0,3,1,4,3,5,2,1,1,2,2,2,2,2,2,0,0,0
1989,143,45,13,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,144,34,14,2,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,145,35,12,1,1,0,0,0,3,1,5,1,1,2,1,1,3,8,1,1,3,2,0
1989,146,50,12,2,1,2,2,2,3,1,4,1,1,3,1,1,1,4,3,5,3,3,0
1989,147,23,12,2,1,0,1,2,3,1,2,5,2,1,2,1,8,3,2,1,0,0,0
1989,148,38,12,2,1,0,0,0,4,3,4,2,1,1,1,2,3,3,1,1,8,2,0
1989,149,35,14,1,1,1,2,1,4,1,3,3,1,2,2,1,1,3,2,2,1,3,0
1989,150,69,13,2,1,0,0,0,3,2,4,2,9,9,9,9,2,9,9,9,2,2,0
1989,151,20,12,2,1,1,1,2,5,1,2,4,2,2,2,1,3,3,3,2,1,3,0
1989,152,60,10,2,1,0,0,0,3,2,2,4,2,4,2,2,5,2,2,2,0,0,0
1989,153,46,12,1,1,1,4,3,4,3,4,2,1,2,1,2,4,4,4,4,2,3,0
1989,154,73,10,1,1,0,4,1,3,3,4,2,2,3,2,2,4,2,2,4,0,0,0
1989,155,83,8,1,1,0,0,0,3,3,2,2,2,2,2,2,3,2,2,4,0,0,0
1989,156,32,12,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,157,22,12,1,1,1,2,1,3,1,4,2,2,2,3,2,2,2,2,2,3,1,0
1989,158,31,11,1,1,1,3,1,4,1,1,4,2,2,2,1,2,3,3,1,1,3,0
1989,159,29,14,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,160,35,12,2,2,0,0,0,1,2,2,2,1,1,3,2,3,3,3,3,0,0,0
1989,161,37,15,2,2,2,3,2,4,2,4,4,1,2,2,2,2,2,2,2,3,3,0
1989,162,68,12,2,1,0,3,1,2,2,3,2,1,2,1,1,2,1,1,2,0,0,0
1989,163,44,13,2,2,0,0,0,1,2,3,4,1,2,2,2,2,2,3,3,0,0,0
1989,164,44,13,1,2,1,3,1,3,2,3,2,2,2,2,2,3,2,3,3,2,2,0
1989,165,55,14,2,2,1,1,1,3,2,4,2,1,2,2,2,3,3,2,3,3,1,0
1989,166,54,98,2,1,0,4,3,9,2,4,2,1,2,1,1,1,2,1,4,0,0,0
1989,167,34,18,1,1,2,1,1,4,1,2,3,2,1,2,1,2,3,3,2,3,2,0
1989,168,31,16,2,1,0,0,0,5,1,4,2,1,2,2,2,2,3,4,3,3,3,0
1989,169,46,16,2,1,0,0,0,4,2,4,2,1,2,1,1,1,2,3,3,3,2,0
1989,170,42,13,1,1,2,3,2,5,2,5,2,2,2,2,2,2,2,2,2,1,3,0
1989,171,30,12,1,1,1,2,3,3,4,3,2,1,2,2,2,2,2,2,1,1,3,0
1989,172,73,13,2,1,0,0,0,3,2,4,4,2,1,3,2,3,3,2,2,9,5,0
1989,173,47,14,2,3,0,0,0,3,1,5,4,1,2,2,1,2,2,3,3,2,1,0
1989,174,75,12,1,1,2,2,1,3,3,3,2,2,2,3,2,3,2,3,3,0,0,0
1989,175,85,7,2,1,0,2,1,8,4,4,4,2,1,3,3,3,2,2,3,0,0,0
1989,176,38,17,1,1,0,0,0,3,3,9,9,1,9,1,1,1,3,1,4,3,3,0
1989,177,31,12,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,178,67,11,2,1,0,3,2,3,3,4,3,2,2,2,2,2,2,2,3,0,0,0
1989,179,37,15,2,1,1,9,3,2,1,2,2,3,4,2,1,3,1,1,2,3,5,0
1989,180,23,16,1,1,1,3,2,2,1,4,2,2,2,1,1,2,2,2,2,2,3,0
1989,181,75,12,2,1,0,3,3,3,3,4,4,2,2,2,2,5,2,2,3,0,0,0
1989,182,41,12,1,1,1,1,1,3,3,3,2,3,1,2,1,1,3,3,3,3,3,0
1989,183,34,13,2,1,0,0,0,3,3,4,2,1,2,1,1,2,2,2,2,0,0,0
1989,184,41,18,1,1,0,0,0,5,1,4,2,2,1,1,1,2,3,3,4,3,2,0
1989,185,59,19,1,1,0,0,0,5,2,4,5,2,4,4,2,2,2,2,2,3,2,0
1989,186,67,16,1,1,0,3,3,8,3,4,2,2,2,2,3,2,3,4,3,0,0,0
1989,187,39,16,2,1,1,2,1,4,2,4,2,2,2,2,2,1,3,2,2,2,2,0
1989,188,61,16,2,1,0,3,1,8,4,4,5,3,2,1,2,4,2,2,4,0,0,0
1989,189,49,16,2,1,1,1,2,3,2,4,1,2,2,1,3,2,3,3,2,3,2,0
1989,190,46,16,1,1,0,0,0,4,1,5,2,2,2,2,2,3,4,3,3,2,3,0
1989,191,22,15,2,1,0,9,1,4,2,5,1,1,3,1,1,1,1,1,1,0,0,0
1989,192,21,13,1,3,0,0,0,3,1,2,2,2,3,2,1,1,1,1,1,0,0,0
1989,193,21,14,1,3,0,3,1,2,2,5,2,2,2,1,2,2,2,2,3,0,0,0
1989,194,32,20,2,1,0,0,0,3,2,3,3,2,2,2,2,2,2,2,2,9,3,0
1989,195,21,14,1,3,0,2,1,1,1,4,2,1,2,1,2,3,3,2,2,0,0,0
1989,196,49,15,1,1,1,5,2,5,1,3,5,1,1,1,1,1,1,1,1,1,4,0
1989,197,21,15,2,3,2,3,1,2,2,4,2,2,2,1,1,1,2,1,1,2,3,0
1989,198,38,19,1,1,1,2,1,4,1,5,1,4,2,2,1,1,1,1,2,2,2,0
1989,199,47,17,2,1,1,3,1,4,3,4,2,2,2,2,2,3,3,3,3,2,2,0
1989,200,28,18,1,1,1,2,1,4,2,4,1,2,2,1,1,1,2,2,2,3,2,0
1989,201,74,14,2,1,0,3,1,8,2,4,2,2,2,2,2,3,3,2,3,0,0,0
1989,202,48,16,1,1,1,2,3,3,1,4,2,1,2,2,2,2,2,1,1,2,3,0
1989,203,53,16,2,1,0,0,0,3,2,4,2,3,2,2,2,2,2,2,2,2,3,0
1989,204,50,16,2,1,1,4,1,4,2,3,2,2,2,1,2,2,3,3,3,3,1,0
1989,205,28,16,2,1,0,0,0,5,1,2,2,1,2,2,1,1,3,2,1,3,3,0
1989,206,50,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,207,23,12,1,1,0,0,0,3,2,3,8,2,2,2,2,3,3,3,3,3,2,0
1989,208,32,12,2,1,1,2,1,3,2,4,2,1,2,1,1,1,1,1,3,2,2,0
1989,209,47,13,2,2,0,0,0,4,2,2,2,1,1,1,1,1,2,2,1,2,2,0
1989,210,28,13,1,2,1,3,1,5,1,5,2,2,2,1,3,3,3,3,3,3,5,0
1989,211,59,8,2,2,0,1,3,8,3,2,4,2,2,2,3,4,4,3,3,0,0,0
1989,212,43,13,1,2,0,0,0,1,1,4,2,1,2,1,1,1,4,1,3,0,0,0
1989,213,56,16,2,2,0,0,0,4,1,4,2,1,3,1,2,2,2,2,2,0,0,0
1989,214,38,15,2,2,0,0,0,3,2,2,4,2,3,3,2,3,2,2,4,0,0,0
1989,215,29,14,2,2,1,1,1,1,2,4,1,1,1,1,1,1,1,3,4,3,2,0
1989,216,28,12,1,2,1,3,1,1,1,1,2,1,1,1,1,1,1,1,3,3,4,0
1989,217,41,12,2,2,0,3,1,1,3,3,2,1,1,1,2,2,1,1,1,0,0,0
1989,218,31,14,2,2,1,2,1,3,2,2,2,1,1,1,1,4,2,2,1,3,1,0
1989,219,24,16,2,1,1,2,2,3,1,4,2,2,2,2,2,2,2,2,3,2,4,0
1989,220,38,14,2,1,1,4,3,1,1,4,2,1,3,2,2,2,2,2,3,3,4,0
1989,221,29,12,1,1,1,3,2,3,2,3,2,1,2,2,1,2,1,1,2,2,5,0
1989,222,30,16,2,2,1,3,1,3,3,4,2,2,2,1,1,1,2,1,1,3,1,0
1989,223,36,18,1,1,1,3,1,4,2,5,2,1,2,1,2,3,2,2,2,3,2,0
1989,224,50,16,2,1,1,2,2,3,1,5,1,1,1,1,1,1,2,1,1,3,1,0
1989,225,28,12,2,1,1,4,1,3,2,4,1,2,3,2,1,1,2,1,1,3,2,0
1989,226,46,12,2,1,0,0,0,3,3,2,3,1,2,1,2,3,2,3,1,3,1,0
1989,227,54,20,2,1,0,0,0,2,3,5,1,3,3,2,1,2,2,1,4,0,0,0
1989,228,55,9,1,1,1,3,3,3,1,2,2,2,3,1,2,1,2,1,4,9,4,0
1989,229,28,17,1,1,0,0,0,4,1,4,2,1,2,2,2,3,3,2,4,2,3,0
1989,230,38,12,2,1,1,1,1,3,1,3,1,1,1,1,2,2,2,2,3,3,1,0
1989,231,44,13,2,1,2,2,2,3,2,4,3,2,2,2,2,2,3,3,2,2,2,0
1989,232,48,12,1,1,1,2,1,3,2,4,2,2,3,2,2,2,2,2,3,3,2,0
1989,233,26,17,2,2,1,1,1,4,1,3,2,2,3,2,1,1,3,3,3,2,3,0
1989,234,51,10,1,2,1,1,1,1,5,4,4,1,1,1,4,2,2,3,3,3,6,0
1989,235,69,6,2,2,2,3,1,9,3,4,5,1,1,1,2,4,1,1,4,1,1,0
1989,236,59,13,2,2,2,2,3,4,2,4,1,1,2,1,1,1,1,2,4,9,6,0
1989,237,50,17,1,2,0,0,0,4,2,4,2,1,1,1,2,4,2,2,4,3,3,0
1989,238,34,18,1,2,0,0,0,1,4,2,5,1,1,1,2,1,3,1,1,0,0,0
1989,239,45,17,1,1,0,0,0,3,2,4,2,2,2,2,2,3,4,4,2,2,5,0
1989,240,78,10,2,1,0,0,0,8,1,4,4,2,2,2,2,2,2,2,2,0,0,0
1989,241,38,18,2,1,1,1,2,4,2,4,2,1,1,1,1,1,2,1,1,3,3,0
1989,242,71,13,2,1,0,4,3,1,5,4,2,1,2,1,1,2,1,1,3,0,0,0
1989,243,59,17,1,1,0,0,0,3,1,5,1,2,1,2,1,2,3,3,2,3,3,0
1989,244,70,12,1,1,1,3,1,3,1,5,1,2,2,1,2,4,2,2,2,3,1,0
1989,245,83,4,2,1,0,0,0,1,1,2,4,1,1,2,2,1,2,8,8,0,0,0
1989,246,33,18,1,1,1,2,1,3,2,4,2,2,2,1,2,2,2,2,3,3,3,0
1989,247,24,14,1,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,248,47,10,2,2,0,0,0,3,2,2,4,1,1,1,1,1,2,2,2,0,0,0
1989,249,37,18,2,2,1,1,1,4,1,4,2,1,1,1,2,2,2,2,2,3,2,0
1989,250,30,12,2,1,0,5,1,5,5,3,3,2,2,2,2,2,2,2,2,0,0,0
1989,251,20,13,1,3,0,0,0,1,2,4,2,2,1,2,1,1,1,2,2,0,0,0
1989,252,89,8,2,1,0,0,0,3,9,3,3,9,9,9,9,9,9,9,9,0,0,0
1989,253,40,12,2,2,0,0,0,2,1,9,9,1,1,1,1,1,1,1,1,0,0,0
1989,254,45,16,2,1,0,0,0,3,2,4,2,2,2,2,1,1,4,4,4,3,2,0
1989,255,33,14,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,256,28,12,1,2,8,1,2,3,3,1,5,2,1,2,3,3,3,3,3,3,3,0
1989,257,29,11,1,1,1,1,1,3,2,5,4,2,1,2,2,2,2,4,2,3,3,0
1989,258,23,12,2,1,1,3,1,3,2,3,2,2,2,2,2,2,2,2,3,9,3,0
1989,259,47,12,2,1,1,2,3,2,3,5,2,2,2,4,2,2,2,2,2,3,3,0
1989,260,21,12,1,1,1,1,1,3,2,4,2,1,2,2,1,1,2,2,3,3,1,0
1989,261,60,13,2,1,0,0,0,2,2,4,3,2,2,1,2,3,4,4,4,0,0,0
1989,262,34,14,1,1,0,0,0,2,2,2,5,1,2,1,4,3,2,2,1,1,4,0
1989,263,22,15,2,1,0,3,1,2,1,5,1,1,2,1,1,1,1,1,1,0,0,0
1989,264,63,11,2,1,0,4,1,8,3,3,8,1,2,2,1,2,2,2,8,0,0,0
1989,265,32,16,2,1,1,5,3,3,3,4,2,1,2,1,2,2,1,1,2,3,3,0
1989,266,42,14,2,1,1,1,2,2,3,4,2,1,1,1,1,1,1,1,1,2,3,0
1989,267,87,8,2,1,0,4,1,9,3,4,5,1,2,2,2,3,2,2,3,0,0,0
1989,268,31,14,2,1,1,9,2,4,8,3,2,1,2,1,2,2,2,2,1,9,8,0
1989,269,43,15,2,1,1,4,1,4,2,4,2,2,2,2,1,2,2,2,3,3,2,0
1989,270,45,13,2,1,1,2,2,3,2,4,3,2,2,2,2,3,2,2,3,2,2,0
1989,271,41,12,1,1,2,2,3,4,1,2,5,1,1,1,2,2,2,1,5,2,3,0
1989,272,42,13,2,1,0,0,0,2,2,4,2,2,2,2,1,2,2,3,2,0,0,0
1989,273,38,13,2,3,2,1,1,3,2,4,2,1,2,1,2,2,2,2,2,2,3,0
1989,274,61,11,2,2,1,2,2,3,8,4,4,2,2,8,2,4,3,4,2,1,3,0
1989,275,60,9,2,2,0,0,0,8,2,1,8,2,9,2,2,2,2,1,2,0,0,0
1989,276,70,12,2,2,0,0,0,1,1,1,1,1,9,1,1,1,3,2,1,0,0,0
1989,277,62,9,2,2,2,1,1,3,9,8,4,1,1,1,9,1,9,9,9,3,3,0
1989,278,61,16,2,2,0,0,0,2,3,5,3,2,2,2,1,1,3,2,3,0,0,0
1989,279,42,16,1,1,2,3,1,2,2,3,3,2,3,2,2,3,2,2,2,2,5,0
